Genomic bins	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin.20	0.935009120689	0.0491150489681	0.0311925355195	0.0154455702842	0.000855032744202	0.000749685434241	0.000913978172737	0.00030858037226	0.000427653725168	0.000181724172114	0.000563237309034	0.000305215079697	0.000292415612029	0.00052039057334	0.0	6.17676786022e-06	1.14223160078e-05
bin.4	0.015231507952	0.00290561788552	0.00213003876516	0.0144324291692	0.00636756645367	0.00286922450657	0.00549445513815	0.448735855518	1.37256887296	0.359385712505	0.423826456696	0.309137892335	0.242457721829	0.193875190304	8.98852536624e-06	8.17366274336e-06	3.55722960722e-05
bin.25	0.0138348494686	0.000327170385749	0.000358270452801	0.000232394347243	0.000307736185435	0.00012015970376	0.000301048850916	0.000251635724839	0.0014289021496	0.01034898677	0.13552846295	0.122032873771	0.14820514611	0.30107798656	3.56597145422e-06	2.19124462043e-06	1.02993202082e-06
bin.22	0.00416173087783	0.00329642591155	0.0036339137218	0.255144284385	0.108114305306	0.03963273708	0.00955992551661	0.00206174707031	0.00174810153933	0.000562460213485	0.000945932660769	0.000577000719532	0.000564687201492	0.000796887067516	0.0	8.00263344884e-07	2.22987525574e-05
bin.6	0.0233649364028	0.0182218637823	0.0142034540637	0.0665315513895	0.438658837579	0.257779127392	0.388684923753	0.558564227472	0.556302084893	0.121199557597	0.0942021531661	0.066586026692	0.0420798853987	0.0342291254589	0.0	8.74316001635e-06	9.44937094502e-06
bin.59	0.0107379454407	0.00125087164547	0.00100133213086	0.00208435244916	0.00320472196005	0.00268226632837	0.00683870059273	0.110247192888	1.21099286413	0.678962703996	0.85781545247	0.480237132045	0.416438034808	0.38129184322	0.00113881999247	0.00348692715569	0.000259561605212
bin.68	0.00242043228032	0.000287585914798	0.00016690492087	0.000204571708498	0.00018673192962	0.000118218636888	0.00037619464162	0.000287391581444	0.00317168129138	0.005393188307	0.102081971368	0.0707680028119	0.0693936056552	0.108561372369	0.0	0.0	5.26030764034e-06
bin.85	0.00796174585997	0.00278486362551	0.00233347863084	0.0226305297592	0.0393651359053	0.0589708347293	0.0932356544977	0.0297394228442	0.0160655763128	0.00191162672816	0.00212152300113	0.00137651764672	0.0010329556512	0.00107274223596	0.0	0.0	0.000113230666276
bin.70	0.0366257776496	0.0135406435968	0.010148085251	0.492630888461	0.236462976244	0.120997363005	0.0960108279681	0.113489522339	0.050599727889	0.00475119673746	0.00256551652534	0.00168924242164	0.00131229145904	0.00123610601891	0.0	1.79459485035e-06	2.19402675039e-05
bin.46	0.00177416505671	0.0013606535526	0.00100510359108	0.0786156648486	0.0666929544724	0.0833429005057	0.0437011597556	0.0774942677616	0.0587005951221	0.00300346768229	0.00145181540374	0.00114949026407	0.000725912797339	0.00109720311887	0.0	0.0	3.8206551973e-06
bin.54	0.00164676568381	6.99325477372e-05	4.18070972465e-05	6.10050574181e-05	0.000106355016987	3.85922344636e-05	0.000114284649068	0.000179113431416	0.00625538844538	0.0481114321435	0.189191116676	0.149394876782	0.0966698788174	0.0845069002815	8.76207490027e-06	0.0	0.0
bin.43	0.522991665964	0.14927093856	0.162051759891	0.0632638877769	0.135141638947	0.0634190361364	0.0559653685267	0.0250329031019	0.0143761763921	0.00853386922918	0.0202638232068	0.0110477679661	0.00993374907075	0.00951486340251	0.0	0.0	5.65190422916e-05
bin.34	0.00399120607189	0.000194787282258	0.00015954811023	0.000264455928457	0.000223667093583	9.71288388037e-05	0.000192883067843	0.000253315452791	0.00411276420085	0.121430911347	0.0617972051299	0.041541249294	0.0310311107264	0.0318692939697	0.0	5.62688493267e-07	9.12296321539e-07
bin.37	0.0093362315068	0.00253191538306	0.00198814657561	0.0194874108171	0.0333688664818	0.0832540164588	0.0498097377848	0.041248154398	0.0319354982075	0.00497791231024	0.00536707158311	0.00336465264838	0.00264286038077	0.00232639580483	0.0	1.75464599928e-06	7.98564784989e-05
bin.32	0.00460438434299	0.00113649954712	0.000902216775594	0.00110854160874	0.14507228088	0.162637695905	0.174174190214	0.0198909869229	0.00202173917817	0.000270944873752	0.000368895094066	0.000239437562168	0.000178754073309	0.000278212789073	0.0	0.0	4.82702728632e-06
bin.81	0.000928199981602	0.000155118332301	0.000121680657528	0.000210755896635	0.000348163349116	0.000157935945144	0.000726536821608	0.0413667496086	0.271578954456	0.0661453752769	0.0998627159332	0.0592380422195	0.0415227417708	0.0378624677739	1.99309376039e-06	0.0	2.81404242766e-06
bin.83	0.115916522643	0.392023558956	0.286430591351	0.0124710143941	0.00222962551625	0.00111024349324	0.00104562129668	0.000804223253585	0.00119008860435	0.000384933115908	0.000712294180801	0.000517587990822	0.000404792368462	0.000523623439357	0.0	1.81641860424e-06	4.17713314688e-05
bin.62	0.00155768953638	0.000172887017555	0.000150211156334	0.000253494177872	0.000228542698324	0.000232529990758	0.000508090193342	0.41427168172	0.313158806123	0.0838746695616	0.0734946038478	0.0374593469926	0.0317176443129	0.0286728141198	2.53823021086e-06	8.43070576238e-07	7.27876850822e-06
