,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,154.813425672,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284867,0.75091131688,0.279416367347,242.225679039,10.0,5.0,0.16,4.68088140881,0.494729795027,10000.0,50.0015991158,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
2,0.0,154.813425664,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284611,0.75091131688,0.279416368511,242.225679039,10.0,5.0,0.16,4.68087757284,0.494729795027,10000.0,50.0015985219,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
3,0.0,154.813425662,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284517,0.75091131688,0.279416368849,242.225679039,10.0,5.0,0.16,4.68088128019,0.494729795027,10000.0,50.0015962112,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
4,0.0,154.813425678,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284628,0.75091131688,0.27941636833,242.225679039,10.0,5.0,0.16,4.68087378853,0.494729795027,10000.0,50.0015987015,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.15813219542
5,0.0,154.813425668,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284611,0.75091131688,0.279416367931,242.225679039,10.0,5.0,0.16,4.68087484085,0.494729795027,10000.0,50.0015991624,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.15813219542
6,0.0,154.813425665,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284562,0.75091131688,0.279416367589,242.225679039,10.0,5.0,0.16,4.68087721811,0.494729795027,10000.0,50.0015958546,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
7,0.0,154.813425658,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284608,0.75091131688,0.279416368024,242.225679039,10.0,5.0,0.16,4.68087946173,0.494729795027,10000.0,50.0015955967,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
8,0.0,154.813425663,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284808,0.75091131688,0.279416368422,242.225679039,10.0,5.0,0.16,4.68087638305,0.494729795027,10000.0,50.0015962069,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
9,0.0,154.813425669,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708284715,0.75091131688,0.279416367787,242.225679039,10.0,5.0,0.16,4.68088112028,0.494729795027,10000.0,50.0015976826,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
10,0.0,154.813425667,0.0676148327127,59638.6719122,33722.51734,2830.0,0.4,0.335708285041,0.75091131688,0.279416367985,242.225679039,10.0,5.0,0.16,4.68087513072,0.494729795027,10000.0,50.0015998955,0.01,1.69968172723,20.0,5.0,0.1,30.0,1.82954164137,12.8218453979,1.41601375665,8.61936100956,0.158129327467
