374.39,64.6372,57.229,0,151.79,0,13.052,3.3958,0,0
375.64,64.6372,35.657,0,112.54,0,5.2912,4.4588,0,0
365.95,64.6372,51.5,0,140.41,0,0,7.0099,0,0
355.01,64.6372,72.343,0,167.55,0,0,5.6748,0,0
337.2,64.6372,73.786,0,185.32,0,4.5644,3.2528,0,0
330.32,64.6372,71.964,0,188.59,0,7.2321,3.4183,0,0
301.57,64.6372,54.75,0,141.67,0,6.7957,3.3885,0,0
292.2,64.6372,66.857,0,174.63,0,5.2132,4.4119,0,0
263.45,64.6372,66.146,0,179.54,0,7.7604,3.9475,0,0
235.32,64.6372,65.436,0,184.46,0,4.0572,4.8488,0,0
204.07,64.6372,33.707,168.743,108.12,124.977,0,6.0812,49.199,0
79.69,64.6372,38.957,139.978,128.64,80.9685,0,8.314,98.3981,0
13.438,64.6372,25.429,214.099,102.7,136.61,8.998,7.2612,147.597,0
10.938,64.6372,20.9,238.913,117.4,105.083,13.613,7.0127,196.796,0
10.625,323.186,3.95,331.783,60.078,228.059,19.091,73.838,245.995,0
10,646.372,3.8929,332.095,39.552,272.1,28.467,114.1,295.194,0
9.3754,969.558,3.8357,332.408,19.025,316.134,37.842,154.36,344.393,0
