NODE_100700_length_1810_cov_6.392023	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
NODE_10070_length_8131_cov_8.979321	
NODE_10071_length_8131_cov_8.778727	Bacteria;Proteobacteria
NODE_100739_length_1810_cov_3.453561	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
NODE_10079_length_8128_cov_10.685247	Bacteria
NODE_1007_length_30768_cov_6.848338	Bacteria
NODE_100800_length_1809_cov_5.705815	Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae
NODE_100802_length_1809_cov_5.609464	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae
NODE_10080_length_8128_cov_7.231017	Bacteria
NODE_100825_length_1809_cov_3.996579	
NODE_100876_length_1808_cov_5.240730	Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae
NODE_100878_length_1808_cov_5.165431	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
NODE_100884_length_1808_cov_4.701654	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
NODE_10089_length_8122_cov_4.638279	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
NODE_1008_length_2138_cov_3.453178	
NODE_10090_length_8121_cov_5.001116	
NODE_100916_length_1808_cov_3.301768	Bacteria;uncultured bacterium contig00012
NODE_100982_length_1807_cov_4.760274	Bacteria
NODE_10098_length_8117_cov_10.964153	Bacteria;Cyanobacteria;Chroococcales;Microcystaceae
NODE_10099_length_8117_cov_6.839122	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
NODE_1009_length_1917_cov_3.501087	Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycopsidaceae
NODE_1009_length_2136_cov_2.472074	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
NODE_100_length_100195_cov_26.617635	
NODE_100_length_11141_cov_7.457068	Bacteria;Bacteroidetes
NODE_100_length_11847_cov_4.253526	Bacteria;Proteobacteria;Betaproteobacteria
NODE_100_length_12273_cov_8.443752	Bacteria;Proteobacteria
NODE_100_length_12891_cov_19.819494	
NODE_100_length_14161_cov_6.919696	
NODE_100_length_14234_cov_4.241647	
NODE_100_length_15094_cov_4.865619	
NODE_100_length_2341_cov_1.690371	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Candidatus Fonsibacter;Candidatus Fonsibacter ubiquis
NODE_100_length_2603_cov_6.026920	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae
NODE_100_length_3867_cov_2.489446	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae
NODE_100_length_4468_cov_16.040310	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
NODE_100_length_5170_cov_5.038681	Bacteria;Proteobacteria;Betaproteobacteria
NODE_100_length_5641_cov_6.005032	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae
NODE_100_length_569_cov_4.182927	Bacteria;Actinobacteria;Actinobacteria;Candidatus Nanopelagicales;Candidatus Nanopelagicus
NODE_100_length_5716_cov_3.513389	Bacteria;Bacteroidetes
NODE_100_length_5810_cov_2.069248	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae
NODE_100_length_5864_cov_3.805944	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae
NODE_100_length_5923_cov_20.568081	Bacteria
NODE_100_length_6189_cov_7.385962	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
NODE_100_length_6744_cov_4.823759	
NODE_100_length_8228_cov_3.344130	Bacteria;Proteobacteria
NODE_100_length_8583_cov_20.898942	
NODE_100_length_8818_cov_3.304313	Bacteria
NODE_100_length_9436_cov_3.048616	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
NODE_10100_length_8117_cov_5.403374	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
NODE_101061_length_1806_cov_6.414620	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
NODE_101069_length_1806_cov_5.786979	
NODE_101071_length_1806_cov_5.749857	Bacteria;Proteobacteria;Betaproteobacteria
NODE_101075_length_1806_cov_5.338664	
NODE_10107_length_8114_cov_6.107209	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
NODE_101083_length_1806_cov_4.690463	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae
NODE_1010_length_2131_cov_2.915287	
NODE_1010_length_30724_cov_33.288826	Bacteria;Proteobacteria
NODE_101113_length_1805_cov_44.865714	Bacteria;Actinobacteria;Actinobacteria bacterium IMCC26103
NODE_101139_length_1805_cov_4.329143	Bacteria;Firmicutes
NODE_101141_length_1805_cov_4.121143	
