,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,209.905302077,0.0521772530125,63602.8010214,38588.8683139,2830.0,0.4,0.0,0.199359026991,0.216458255505,69.8399884566,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52382204332
2,0.0,209.905302077,0.0516230691981,63602.8010214,38625.9149917,2830.0,0.4,0.0,0.199382779081,0.216477067358,69.8397452382,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52408544527
3,0.0,209.905302077,0.0527036246308,63602.8010214,38593.1038289,2830.0,0.4,0.0,0.199397438889,0.216545818062,69.8378787569,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52320864975
4,0.0,209.905302077,0.0521510101058,63602.8010214,38603.4011918,2830.0,0.4,0.0,0.199384101043,0.216546483856,69.8390358556,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.5237060955
5,0.0,209.905302077,0.0521601530052,63602.8010214,38520.34607,2830.0,0.4,0.0,0.199346367695,0.216492812267,69.8342417263,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52441308158
6,0.0,209.905302077,0.0515570398329,63602.8010214,38503.8609605,2830.0,0.4,0.0,0.19933853111,0.216468113769,69.8347777992,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52524100082
7,0.0,209.905302077,0.0519773314866,63602.8010214,38559.088051,2830.0,0.4,0.0,0.199357237022,0.216563863892,69.8377607683,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52427004691
8,0.0,209.905302077,0.0511384229719,63602.8010214,38610.0212412,2830.0,0.4,0.0,0.199330529797,0.216444116551,69.8402999816,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52472529956
9,0.0,209.905302077,0.0515345025062,63602.8010214,38538.3844362,2830.0,0.4,0.0,0.199312962398,0.216509704547,69.8379942393,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52492046917
10,0.0,209.905302077,0.0526552490568,63602.8010214,38590.0043927,2830.0,0.4,0.0,0.199424908996,0.216468423266,69.8449853154,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.5232910573
