,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216537618641,69.8374792807,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52274344305
2,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216537915088,69.8392039558,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52274321281
3,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216413413053,69.8364969642,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52274749516
4,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216493957947,69.8440003674,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52273482318
5,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216496457132,69.8311651925,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52274199693
6,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216482436415,69.8385838414,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52275252406
7,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216571743128,69.8440108884,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52275095904
8,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216565236794,69.8387657742,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52272717806
9,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216550952781,69.8194553816,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52279792125
10,0.0,209.905302077,0.0525764818773,63602.8010214,38664.0248338,2830.0,0.4,0.0,0.199373207937,0.216446930414,69.8493990643,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52268620279
