,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,209.905302077,0.0531380329858,63602.8010214,38629.4253939,2830.0,0.4,0.0,0.199373207937,0.216443987114,69.8474414758,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52243047106
2,0.0,209.905302077,0.0543908890431,63602.8010214,38643.4036118,2830.0,0.4,0.0,0.199373207937,0.216487099624,69.8467038694,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52105362105
3,0.0,209.905302077,0.0500710659585,63602.8010214,38565.1047595,2830.0,0.4,0.0,0.199373207937,0.216584681277,69.8402112935,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52619548293
4,0.0,209.905302077,0.0511142060879,63602.8010214,38632.5301344,2830.0,0.4,0.0,0.199373207937,0.216554665983,69.8385890754,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52457767242
5,0.0,209.905302077,0.0543475821494,63602.8010214,38689.9042568,2830.0,0.4,0.0,0.199373207937,0.216551351675,69.8325105564,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52067585009
6,0.0,209.905302077,0.0532010979684,63602.8010214,38618.7012281,2830.0,0.4,0.0,0.199373207937,0.21637431442,69.8419733572,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52249248923
7,0.0,209.905302077,0.0523545543884,63602.8010214,38628.9875462,2830.0,0.4,0.0,0.199373207937,0.216446667803,69.8380165524,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52327752179
8,0.0,209.905302077,0.0505950678853,63602.8010214,38553.7469827,2830.0,0.4,0.0,0.199373207937,0.216511818741,69.8377322558,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52582390461
9,0.0,209.905302077,0.0507508409485,63602.8010214,38441.9921726,2830.0,0.4,0.0,0.199373207937,0.216408917238,69.8357806091,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.52659366027
10,0.0,209.905302077,0.0539331340886,63602.8010214,38561.3071302,2830.0,0.4,0.0,0.199373207937,0.21649951464,69.8453354126,10.0,5.0,0.16,5.12133978378,0.0,10000.0,0.0,0.01,1.8711709355,20.0,5.0,0.1,30.0,1.05196777778,1.13228629962,0.632990398033,17.011116494,-2.5218742252
