0.97375	572/1000	1	0	bin.135.strict.fa	
0.961242	436/1000	1	0	bin.128.permissive.fa	
0.794597	8/1000	1	2.12058e-29	bin.98.orig.fa	
0.789561	7/1000	1	1.73593e-25	bin.42.strict.fa	
0.777011	5/1000	1	7.61122e-18	bin.89.permissive.fa	
0.768798	4/1000	1	3.88249e-14	bin.5.strict.fa	
0.758338	3/1000	1	1.58281e-10	bin.10.strict.fa	
0.719686	1/1000	1	0.000983681	bin.90.strict.fa	
0.719686	1/1000	1	0.000983681	bin.82.strict.fa	
0.719686	1/1000	1	0.000983681	bin.32.strict.fa	
0.719686	1/1000	1	0.000983681	bin.30.strict.fa	
0.719686	1/1000	1	0.000983681	bin.22.permissive.fa	
0.719686	1/1000	1	0.000983681	bin.132.permissive.fa	
0.719686	1/1000	1	0.000983681	bin.120.orig.fa	
0.719686	1/1000	1	0.000983681	bin.11.permissive.fa	
0.719686	1/1000	1	0.000983681	bin.114.orig.fa	
