,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,233.340034239,0.0536028528832,74784.4509014,16384.7207177,2830.0,0.4,0.0,0.253627619681,0.200134853375,182.468374138,10.0,5.0,0.16,3.71777873484,0.0,10000.0,0.0,0.01,1.21248213528,20.0,5.0,0.1,30.0,4.16007050448,3.50499329019,0.970673853815,9.51513657925,0.257601130673
2,0.0,240.007348968,0.0512037862571,85535.9406981,69368.5245363,2830.0,0.4,0.0,0.262591251572,0.200117913733,234.977928987,10.0,5.0,0.16,5.52599459104,0.0,10000.0,0.0,0.01,3.47901986435,20.0,5.0,0.1,30.0,1.48835661329,2.76234154564,0.735447020193,1.53567490912,-0.260798328948
3,0.0,30.5442642126,0.052626157351,39057.7674125,53880.6674297,2830.0,0.4,0.0,0.265930312488,0.200285741407,101.811279156,10.0,5.0,0.16,2.10856408999,0.0,10000.0,0.0,0.01,3.47695478865,20.0,5.0,0.1,30.0,1.78928941838,4.18679481184,0.476444728317,11.5834267639,-0.05463004649
4,0.0,28.435736735,0.0536973223127,70561.3394876,23841.3657295,2830.0,0.4,0.0,0.234741104246,0.200072905957,185.180923899,10.0,5.0,0.16,4.20648512874,0.0,10000.0,0.0,0.01,2.03684506134,20.0,5.0,0.1,30.0,0.661474240005,3.77808914665,0.552718764066,1.08941288185,-0.212316905645
5,0.0,124.606605855,0.0533878120414,59603.3837019,10308.5114376,2830.0,0.4,0.0,0.260208180058,0.200137806534,317.565989254,10.0,5.0,0.16,4.28304089909,0.0,10000.0,0.0,0.01,2.3044203209,20.0,5.0,0.1,30.0,3.91962414976,1.10618239691,1.16519782171,8.09477962074,-0.123671803723
6,0.0,67.4267532899,0.051429017141,49070.819923,15437.1335287,2830.0,0.4,0.0,0.192383801859,0.200171966464,89.5181034103,10.0,5.0,0.16,3.02587455036,0.0,10000.0,0.0,0.01,1.61266352742,20.0,5.0,0.1,30.0,1.74862705436,2.10606043971,0.596984733762,2.65603844338,0.0591500666815
7,0.0,28.6583480837,0.0484096284874,97762.8210083,82621.3955576,2830.0,0.4,0.0,0.251000708852,0.200083119354,161.042602173,10.0,5.0,0.16,3.37357431174,0.0,10000.0,0.0,0.01,2.30793280654,20.0,5.0,0.1,30.0,2.62513952153,3.50161860224,0.843730330746,10.9203961802,-0.24138555042
8,0.0,121.641712188,0.0520438766731,95776.1546841,21944.24945,2830.0,0.4,0.0,0.242532296489,0.200199859657,165.977599852,10.0,5.0,0.16,2.69287903043,0.0,10000.0,0.0,0.01,1.94114246582,20.0,5.0,0.1,30.0,3.0924840517,2.845355152,0.515778486926,7.25476405789,0.35819038945
9,0.0,232.922088003,0.050772272767,99448.3622229,51933.8650123,2830.0,0.4,0.0,0.261378077924,0.200332388262,205.31374665,10.0,5.0,0.16,2.5695347644,0.0,10000.0,0.0,0.01,2.23194659443,20.0,5.0,0.1,30.0,1.22534119735,2.10067377448,0.654203746583,4.53907823517,-0.169688447333
10,0.0,66.2950493115,0.0499899858109,57744.7026602,17619.4791219,2830.0,0.4,0.0,0.271267052306,0.200048889148,88.6704204773,10.0,5.0,0.16,2.15243747306,0.0,10000.0,0.0,0.01,3.18338706524,20.0,5.0,0.1,30.0,2.82669131861,10.0676500173,0.636542298271,10.4550660464,0.103814498523
11,0.0,371.491570111,0.0499514514659,50626.6505576,81471.4509241,2830.0,0.4,0.0,0.183431827068,0.200107367856,243.899846368,10.0,5.0,0.16,2.72838754565,0.0,10000.0,0.0,0.01,2.2761324718,20.0,5.0,0.1,30.0,1.97217256819,10.625751161,0.958579620354,3.16722140552,-0.365274717649
12,0.0,83.981062473,0.0532156886952,67423.6906819,8679.1166128,2830.0,0.4,0.0,0.260210078675,0.199952792686,6.15702250288,10.0,5.0,0.16,3.81553687228,0.0,10000.0,0.0,0.01,2.18366243894,20.0,5.0,0.1,30.0,1.94025188128,10.3767585475,0.648295228786,2.84281660576,-0.0758519601745
13,0.0,182.868538876,0.05017265379,43959.7423169,25976.855958,2830.0,0.4,0.0,0.168895284987,0.2000707072,200.183944774,10.0,5.0,0.16,0.787428215666,0.0,10000.0,0.0,0.01,2.55867102466,20.0,5.0,0.1,30.0,0.209876150963,10.8194292466,0.852190300511,6.59417284495,0.0536781476281
14,0.0,89.1127849692,0.0513417729395,22948.3265593,44234.0728172,2830.0,0.4,0.0,0.192925803765,0.200023560669,75.3754962698,10.0,5.0,0.16,4.04423476027,0.0,10000.0,0.0,0.01,1.09419610411,20.0,5.0,0.1,30.0,4.68129278443,4.54032565217,0.896322383469,10.0837461733,-0.155646177565
15,0.0,24.8588190432,0.0524011616286,75231.2865341,16381.5738239,2830.0,0.4,0.0,0.261256385686,0.200161474649,23.8073826834,10.0,5.0,0.16,1.28555676267,0.0,10000.0,0.0,0.01,2.68696195933,20.0,5.0,0.1,30.0,1.15865003934,5.47544955608,0.796450873932,3.51534753169,0.146393536095
16,0.0,44.2150227209,0.0500336674342,57672.5727034,27374.2368661,2830.0,0.4,0.0,0.239568166073,0.200186456748,294.745920808,10.0,5.0,0.16,2.53575338011,0.0,10000.0,0.0,0.01,0.878418392133,20.0,5.0,0.1,30.0,2.60637951881,6.55400359284,0.763169415181,1.64456271922,-0.319116524815
17,0.0,48.0556645887,0.0481431663158,87000.3090586,31003.99578,2830.0,0.4,0.0,0.247302141551,0.200117255896,146.172053787,10.0,5.0,0.16,3.315321139,0.0,10000.0,0.0,0.01,1.34588077976,20.0,5.0,0.1,30.0,2.91204698467,4.71698487666,1.21055517897,11.0813579902,0.194578045236
