Genomic bins	B7_22mMystic	B9_PosControlEColiMystic	A3_1mMystic	A7_9mMystic	B3_17mMystic	A5_5mMystic	H2_PosControlEBAlly	A4_3mMystic	B5_20mMystic	B1_13mMystic	A1_FB_ShallowInflow	B6_21mMystic	B2_15mMystic	H3_PosControlEMAlly	B4_19mMystic	A6_7mMystic	A8_11mMystic
bin.180	0.892708303405	0.0	0.0483150848997	0.164429986027	4.15561422144	0.0995508055024	0.0	0.06489893318	1.41396758097	4.40990986526	0.212129830511	1.07958478335	10.0326877129	0.00701994311932	1.43438587945	0.0758929229669	0.981524048036
bin.101	0.450074958632	18.6387733289	0.522416561105	6.11934971418	0.381512277052	0.659871531677	18.8103580157	0.555229171942	0.408107104431	3.80623455627	1.210009376	0.425621250101	0.762514891605	1.66599812739	0.397013930762	1.06417847364	10.126318158
bin.128	6.34618280095	0.0128994323205	1.41043496597	9.9886944567	14.7735157024	3.23169638766	0.00965016762333	1.26806594143	9.91830093234	27.4083159819	1.21605822016	7.8124115966	21.6068556561	0.0286064483129	9.63684291792	9.19154840485	16.7175426211
bin.194	0.0773631482569	0.0	0.19191901881	12.7589317645	0.0911861172436	0.201922373538	0.0	0.18819777816	0.0659916356535	2.59328972902	0.305413322711	0.0676217564185	0.221949772564	0.00895965937339	0.0621872559194	7.59695134114	13.5117005788
bin.175	11.3153904804	0.0	0.0198107588187	0.0222329902866	1.77471259582	0.01187932778	0.0	0.0220800957221	12.223743129	0.0433899081145	0.0607829175476	12.3643416705	0.23580506283	0.00887737378284	14.1948262786	0.0164041665332	0.0515176444503
bin.70	1.52019821539	0.0	0.317233522585	0.565911596588	3.61518430627	0.420170487947	0.0	0.337080141982	1.50664664704	3.22060463491	0.541526872025	1.70172975569	7.49151197699	0.0475525533708	1.60896451553	0.22415086793	0.877702972842
bin.223	12.5843367841	0.00659026456864	0.0596060287708	0.0438057410163	4.61049203905	0.0635296476089	0.00910134366774	0.0571938418592	10.3510987164	0.136927301265	0.196828834491	10.4577013585	1.13970986624	0.0119762607624	9.66249053691	0.0501140857762	0.073106034716
bin.206	5.06970035516	0.0	0.0110504227014	0.0104801221897	8.71331490777	0.0126205760367	0.000741432072851	0.00928956664297	6.0992472136	0.449960436507	0.0305724894851	5.68599474388	5.53980163669	0.00446509438936	6.68745844842	0.0117913992528	0.0364529247664
bin.233	0.224669799558	0.0	0.370249413632	9.36232973956	0.498503589278	1.46671214647	0.00138250223565	0.406285653971	0.224385739535	2.76308490586	0.0544150250219	0.200658884927	2.18414951161	0.00348301693901	0.193557998327	4.28020626939	8.83787253762
bin.7	0.0644120275535	0.0	7.71596849396	0.326540873997	0.0693832845595	2.326443789	0.0	8.39012622436	0.0736789136352	0.221014551938	23.7823299202	0.0827157101867	0.0768599423905	0.0326306106565	0.0817846665739	1.47422549562	0.366080866959
bin.46	2.23315346039	0.0	5.49666417273	2.74641311814	2.49638572939	1.75938550679	0.00265303263158	5.07283264316	3.21725685077	2.75627349249	8.89405102172	2.59313115343	1.40132465654	0.00944061575022	3.02397201775	2.77652840624	2.68500615626
bin.54	1.05454242819	0.0	28.2638567389	53.2602027094	1.38250849639	13.7879466748	0.00212459568895	25.8424556989	1.26282195193	17.1633525976	7.19695745401	1.25328291038	1.7518849723	0.105860860106	1.21612739468	55.190784769	34.7884959145
bin.14	0.0750329136968	0.0	9.02485881646	0.0868631891131	0.0913848263285	0.523110122032	0.0470326675491	8.78766030836	0.0755712017733	0.0715725552879	17.3017149589	0.0872697940581	0.0776452664278	0.214240628302	0.0622064975419	0.121163072804	0.0786114641657
bin.248	8.14801981149	0.00673736959285	0.00746606523842	0.005392105669	9.91744847578	0.00811715897167	0.0	0.00745661925659	10.9636753317	0.362476918997	0.0591258130212	9.2872617687	6.84854569256	0.00282930582218	11.4639170155	0.00923685947711	0.00929894349176
bin.250	4.47531086732	0.0047270546837	0.00623785237198	0.00785938731109	7.83797553248	0.0139508274925	0.000633766392779	0.00538296107333	4.7045098433	1.09635379495	0.026339196684	4.81267674818	6.47345778889	0.00345220969861	5.67344445744	0.0122052314547	0.0330075298152
bin.43	0.104601756586	0.00276052393053	18.0178592021	0.820744614234	0.21347981414	16.7655265125	0.00105642139579	22.9595711462	0.093830329487	0.634124588468	6.97924144107	0.0959639468074	0.253751226154	0.0359863270998	0.115273603385	2.8258961403	0.865080341796
bin.34	0.100480284024	0.0	12.7052991136	0.285967780305	0.0478480266046	2.74257955986	0.00399058993472	14.0044705389	0.0626933709423	0.205204656748	9.32844573837	0.073893438849	0.0976456912622	0.0396336739864	0.0663571574455	0.361285028281	0.281984300676
bin.13	0.064412822865	0.0	5.22451053153	0.0415037659597	0.0281788835132	0.635254785912	0.0	4.8256729446	0.0666519383613	0.0475293809465	22.0590433873	0.136136325175	0.0332668257412	0.126222174364	0.112179574586	0.0581367303593	0.0465350596958
bin.188	7.89956830613	0.00652610652171	0.0202256978806	0.0471393032492	3.98597348265	0.0544013829987	0.0	0.0235875831846	7.3781431519	0.0669428231643	0.131294787451	8.05641304521	0.77559281709	0.0	7.74575149257	0.0399579961078	0.0552264258038
bin.189	1.51821484149	0.00639465694012	0.209128259182	1.77424472537	2.47219394279	27.5646715617	0.0	0.489726430237	1.47073217991	0.755570231794	0.0238285220727	1.62828493117	2.85481057113	0.00692106285916	1.64116210587	1.32410096692	1.3071139233
bin.160	34.8794549961	0.00580960418126	0.0159803849957	0.0373127314182	26.6795312074	0.0101224988803	0.00488782889602	0.0137026959629	37.1580537642	0.987007381679	0.110414002482	36.7713658407	7.63197392551	0.0	39.4982187535	0.0109938872389	0.332478958326
bin.37	0.174959560924	0.00235187045184	24.233246927	0.793125720382	0.190246324815	1.55059413614	0.00551690450816	26.0171375619	0.183900762385	0.598636461173	9.71569313926	0.181783650506	0.196905535571	0.937693103202	0.188222717688	1.00268474575	0.742373031576
bin.145	0.91902802107	0.0	0.708355236083	1.92469914289	1.27906241721	10.9027435481	0.00162679629558	0.677643581249	1.13441571522	10.6324637416	0.887205474788	1.08892406303	2.00029411956	0.0167115245074	1.23848629165	3.54854703762	1.48125928165
bin.239	7.19749066716	0.0	0.0103277104595	0.0195354826804	6.02180702664	0.0403497276368	0.0	0.0145736317086	6.414500694	0.11177688687	0.0687649063396	7.13501188298	2.53071048434	0.00160064721217	7.05144541874	0.0157664673245	0.0427147329062
