374.39,200,57.229,0,151.79,0,13.052,3.3958,0,0
375.64,200,35.657,0,112.54,0,5.2912,4.4588,0,0
365.95,200,51.5,0,140.41,0,0,7.0099,0,0
355.01,200,72.343,0,167.55,0,0,5.6748,0,0
337.2,200,73.786,0,185.32,0,4.5644,3.2528,0,0
330.32,200,71.964,0,188.59,0,7.2321,3.4183,0,0
301.57,200,54.75,0,141.67,0,6.7957,3.3885,0,0
292.2,200,66.857,0,174.63,0,5.2132,4.4119,0,0
263.45,200,66.146,0,179.54,0,7.7604,3.9475,0,0
235.32,200,65.436,0,184.46,0,4.0572,4.8488,0,0
204.07,200,33.707,30.798,108.12,233.01,0,6.0812,10,0
79.69,200,38.957,25.548,128.64,150.96,0,8.314,20,0
13.438,200,25.429,39.076,102.7,254.7,8.998,7.2612,30,0
10.938,200,20.9,43.605,117.4,195.92,13.613,7.0127,40,0
10.625,1000,3.95,60.555,60.078,425.2,19.091,73.838,50,0
10,2000,3.8929,60.612,39.552,507.31,28.467,114.1,60,0
9.3754,3000,3.8357,60.669,19.025,589.41,37.842,154.36,70,0
