Genomic bins	B7_22mMystic	B9_PosControlEColiMystic	A3_1mMystic	A7_9mMystic	B3_17mMystic	A5_5mMystic	H2_PosControlEBAlly	A4_3mMystic	B5_20mMystic	B1_13mMystic	A1_FB_ShallowInflow	B6_21mMystic	B2_15mMystic	H3_PosControlEMAlly	B4_19mMystic	A6_7mMystic	A8_11mMystic
bin.20	0.0869391473592	0.0	4.28019928903	0.0583752820222	0.0359922723199	1.28296233301	0.00541235403045	3.38399647153	0.0475950273991	0.0375984275512	52.0400605278	0.0543616739233	0.0324323660046	0.0130013240152	0.0571853188086	0.044121619064	0.0708675177331
bin.4	32.3897945171	0.0207878452216	0.253214113985	0.223416091745	71.1799001856	1.19880733811	0.00716212062582	0.231082326123	48.2067480754	54.6754235525	0.847744239293	45.0742267924	104.092758778	0.040489769928	43.030975855	0.328580798032	0.42602592551
bin.25	50.2996494963	0.00824705495447	0.0285117185445	0.00935639973021	2.04971933963	0.0193034759113	0.00192006433162	0.0388678229563	19.0297215212	0.0306601080955	0.77001003285	27.5521534937	0.108364956911	0.00117230865502	13.7601650976	0.0158798816046	0.0233425539222
bin.22	0.133132085285	0.0	0.287271623248	3.08605729642	0.111400816619	21.1931641452	0.000701225728103	0.394233780858	0.08997709118	0.251209911	0.231630603371	0.104978463028	0.13257237246	0.0253813068152	0.0960402656393	5.57894212408	0.741252046585
bin.6	5.71849517401	0.0	1.58796967619	20.0723244359	24.0047729003	5.52634009746	0.00766113903327	1.54089552627	10.3833787241	68.057266525	1.30042870997	7.82288261869	42.1887891174	0.0107556412651	9.5643169848	22.6357858947	30.1376297031
bin.59	63.7005922913	2.63375946266	0.109008950212	0.208858337412	134.475288857	0.173133502473	3.05539801269	0.108631899947	74.8878445993	13.4328734656	0.59764479117	77.4181258669	91.8391714765	0.29544310707	87.0937513224	0.1653708849	0.530255262087
bin.68	18.1368257487	0.0	0.0250620747391	0.00920525590257	1.06817436536	0.0169924315887	0.0	0.0181070776677	11.0355131737	0.0350167169565	0.134714667038	12.9006537538	0.240533689848	0.00598748660125	10.364352616	0.00963578894685	0.0291691653382
bin.85	0.179217880009	0.0	0.24269081596	4.59184472737	0.378616608753	1.87976984488	0.0	0.253152984252	0.214653205129	3.62354717195	0.443129085366	0.192032148687	1.21837977875	0.128883545133	0.215397608137	2.03132984391	7.22925294669
bin.70	0.206510280615	0.0	1.18001822891	9.42162521341	0.941021575893	40.9196204701	0.00157250246263	1.10093918658	0.263419289182	13.8279293405	2.0384910089	0.243962214923	3.83737776161	0.0249732651946	0.260476140443	12.2020231755	7.44443276279
bin.46	0.183304441936	0.0	0.118576047277	6.48960897379	0.594866524732	6.53008823434	0.0	0.109041055787	0.179250712867	9.44215145872	0.0987451939179	0.13495118989	4.45173062608	0.00434881823763	0.147402392176	3.44150694981	3.38847557449
bin.54	14.1181609215	0.0202641311478	0.00609436918814	0.00300503713662	9.52894569428	0.00506729044966	0.0	0.00453554246908	23.2965332538	0.021823758022	0.0916544918808	17.9714632677	0.474395604719	0.0	19.2085185931	0.00548815887682	0.00886133787002
