0.981388	674/1000	1	0	bin.274.fa	
0.851276	34/1000	1	4.34953e-153	bin.29.fa	
0.830035	20/1000	1	4.79458e-86	bin.242.fa	
0.794597	8/1000	1	4.38694e-32	bin.199.fa	
0.777011	5/1000	1	1.59895e-19	bin.197.fa	
0.768798	4/1000	1	1.76623e-15	bin.101.fa	
0.758338	3/1000	1	1.55925e-11	bin.22.fa	
0.743837	2/1000	1	1.03137e-07	bin.38.fa	
0.719686	1/1000	3	0.000454368	bin.211.fa	
0.719686	1/1000	1	0.000454368	bin.58.fa	
0.719686	1/1000	1	0.000454368	bin.33.fa	
0.719686	1/1000	1	0.000454368	bin.1.fa	
0.719686	1/1000	1	0.000454368	bin.132.fa	
0.719686	1/1000	1	0.000454368	bin.12.fa	
0.719686	1/1000	1	0.000454368	bin.10.fa	
