0.996089	921/1000	1	0	bin.220.fa	
0.813182	13/1000	1	1.86076e-54	bin.272.fa	
0.743837	2/1000	1	8.79598e-08	bin.207.fa	
0.719686	1/1000	1	0.000419608	bin.99.fa	
0.719686	1/1000	1	0.000419608	bin.8.fa	
0.719686	1/1000	1	0.000419608	bin.74.fa	
0.719686	1/1000	1	0.000419608	bin.63.fa	
0.719686	1/1000	1	0.000419608	bin.49.fa	
0.719686	1/1000	1	0.000419608	bin.34.fa	
0.719686	1/1000	1	0.000419608	bin.2.fa	
0.719686	1/1000	1	0.000419608	bin.238.fa	
0.719686	1/1000	1	0.000419608	bin.224.fa	
0.719686	1/1000	1	0.000419608	bin.20.fa	
0.719686	1/1000	1	0.000419608	bin.19.fa	
0.719686	1/1000	1	0.000419608	bin.18.fa	
0.719686	1/1000	1	0.000419608	bin.188.fa	
