79698.assembled.fna	bin.311.fa	79698	bin.311
79699.assembled.fna	bin.117.fa	79699	bin.117
79700.assembled.fna	bin.161.fa	79700	bin.161
79701.assembled.fna	bin.2.fa	79701	bin.2
79702.assembled.fna	bin.220.fa	79702	bin.220
79703.assembled.fna	bin.76.fa	79703	bin.76
79704.assembled.fna	bin.54.fa	79704	bin.54
79705.assembled.fna	bin.18.fa	79705	bin.18
79706.assembled.fna	bin.34.fa	79706	bin.34
79712.assembled.fna	bin.186.fa	79712	bin.186
79717.assembled.fna	bin.29.fa	79717	bin.29
79718.assembled.fna	bin.314.fa	79718	bin.314
79719.assembled.fna	bin.274.fa	79719	bin.274
94253.assembled.fna	bin.269.fa	94253	bin.269
94254.assembled.fna	bin.291.fa	94254	bin.291
94256.assembled.fna	bin.100.fa	94256	bin.100
94258.assembled.fna	bin.323.fa	94258	bin.323
94259.assembled.fna	bin.328.fa	94259	bin.328
94260.assembled.fna	bin.80.fa	94260	bin.80
94261.assembled.fna	bin.227.fa	94261	bin.227
94264.assembled.fna	bin.312.fa	94264	bin.312
