bin.100	94256	0.996495327103
bin.117	79699	0.982071713147
bin.161	79700	0.993644067797
bin.18	79705	0.989247311828
bin.186	79712	1.0
bin.2	79701	0.96757852077
bin.220	79702	0.984047856431
bin.227	94261	0.993987975952
bin.269	94253	0.984220907298
bin.274	79719	0.96537250787
bin.29	79717	0.965556831228
bin.291	94254	0.992842535787
bin.311	79698	0.976493633692
bin.312	94264	0.996932515337
bin.314	79718	0.992790937178
bin.323	94258	0.954635108481
bin.328	94259	0.974973931178
bin.34	79706	0.996579247434
bin.54	79704	0.990663900415
bin.76	79703	0.984047856431
bin.80	94260	1.0
