Gene_Sequence	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin_19_GGINHOFJ_00717	0.0	9.437322	11.367878	5.321446	133.631197	1145.704933	2482.655914	1239.751519	100.652907	8.297308	5.355915	25.749655	10.069562	36.296328	0.0	0.0	0.0
bin_19_GGINHOFJ_00718	13.925716	43.87826	35.358413	8.249024	125.899235	746.707246	2289.703373	1030.016818	60.407598	13.044312	25.043084	26.70579	0.0	28.185688	0.0	26.045377	0.0
bin_19_GGINHOFJ_01187	10.512908	11.004807	13.271498	12.411926	77.944894	773.04611	1337.086905	770.660203	41.587118	9.718245	6.2569	20.041341	23.484809	10.589028	0.0	0.0	0.0
bin_2_KPOMJHBH_04212	26.560404	37.009429	44.574168	31.30251	0.0	0.0	16.489094	14.546422	362.627965	187.000603	94.496669	159.862613	88.849544	44.477321	0.0	0.0	0.0
bin_22_KPMMGFAF_00526	21.257586	44.935253	27.169056	202.739633	148.254504	107.924678	20.417282	12.14957	78.238715	20.449981	12.904813	0.0	0.0	21.722698	0.0	0.0	158.694274
bin_22_KPMMGFAF_04405	94.862881	20.006809	121.101367	304.837518	172.47354	106.436518	81.563908	32.31087	45.079287	36.186374	22.960318	0.0	106.804112	19.321924	0.0	0.0	560.041088
bin_23_GKCJFILG_00379	78.206369	37.085358	17.841883	50.180571	119.965566	939.006185	985.403641	410.004014	16.205124	25.937171	25.197082	20.206678	15.827335	0.0	0.0	0.0	0.0
bin_24_DANOOOII_00195	37.671044	399.612741	192.940934	0.0	0.0	0.0	0.0	21.970606	0.0	148.25492	185.10868	110.102197	214.342028	310.498575	0.0	0.0	0.0
bin_24_DANOOOII_01832	56.331764	217.773698	287.641294	22.344975	0.0	21.064928	0.0	10.654402	6.370336	17.895033	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_24_DANOOOII_01833	39.513436	110.593878	150.306675	7.797231	20.995078	0.0	6.200535	7.33447	4.383719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_24_DANOOOII_01834	0.0	370.022657	99.393627	23.156993	0.0	0.0	19.003633	0.0	13.600868	0.0	71.541127	0.0	88.315798	79.940521	0.0	0.0	0.0
bin_24_DANOOOII_01835	70.94356	112.910567	318.112097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin_25_DEMCJCJC_00808	15.325115	63.986197	67.36901	18.038282	4.043298	79.252691	96.037754	33.420301	15.000113	21.011328	154.075826	203.462966	494.964884	537.966169	0.0	0.0	0.0
bin_25_DEMCJCJC_00854	50.887722	5.890112	0.0	59.768636	19.600778	6.121306	7.833955	41.719648	65.204083	107.677304	261.085502	309.880628	370.773329	588.014681	0.0	0.0	0.0
bin_25_DEMCJCJC_01425	0.0	0.0	12.431501	29.079452	20.86744	16.200553	9.204587	10.840773	6.48464	45.450504	152.338765	281.59115	297.127187	327.383104	0.0	0.0	0.0
bin_25_DEMCJCJC_01426	17.165043	0.0	0.0	10.111917	9.068063	4.68409	0.0	9.391096	0.0	23.619581	193.271336	200.51928	373.128917	465.466134	0.0	0.0	0.0
bin_25_DEMCJCJC_02485	13.072185	0.0	0.0	11.525994	0.0	3.546769	0.0	3.548175	2.12387	23.791006	119.53028	334.034389	210.858584	556.277257	0.0	0.0	0.0
bin_26_NKKGGPGH_01686	23.481194	0.0	9.833644	9.214392	8.261932	0.0	0.0	0.0	0.0	0.0	9.261242	14.849449	0.0	15.704303	77349.41241	77065.699178	5907.695071
bin_26_NKKGGPGH_02182	22.344995	9.299959	0.0	15.726907	16.44041	12.055593	10.288869	16.850118	25.946661	12.102019	15.746274	16.855808	14.883158	8.921953	70593.013256	69337.30076	5215.301811
bin_27_COPLIDAH_00832	249.914788	132.456782	0.0	18.662142	486.265396	0.0	15.202374	0.0	0.0	0.0	19.120782	30.417384	0.0	32.053029	0.0	0.0	119.061201
bin_27_COPLIDAH_00999	13.072185	13.629592	8.192883	30.735984	613.026707	156.057828	208.750685	88.704371	16.990957	5.947752	7.711631	12.371644	0.0	13.088877	0.0	0.0	0.0
bin_27_COPLIDAH_01652	28.183537	23.487187	35.271252	52.962408	261.068437	21.357279	37.377266	60.053448	23.734414	38.389599	23.230482	5.326083	12.5295	20.749877	0.0	0.0	0.0
bin_27_COPLIDAH_02181	0.0	0.0	36.208598	33.780613	1038.792318	719.07798	876.610106	270.908775	33.326251	40.098314	0.0	0.0	15.970732	0.0	0.0	0.0	0.0
bin_28_LJODPFPL_02663	49.852124	0.0	20.89539	543.146283	118.471709	58.904891	27.042698	59.032715	84.231845	30.454978	24.60408	7.888389	27.778703	33.365242	0.0	0.0	27.55187
bin_28_LJODPFPL_03040	89.843753	37.561563	90.48761	656.575856	194.698818	137.451045	104.615612	44.306714	11.781256	33.019829	37.302932	25.620699	60.116868	9.028759	0.0	32.388137	60.098058
bin_28_LJODPFPL_06779	39.951099	5.945751	0.0	512.834293	123.16848	50.942974	50.087809	52.505303	42.52829	36.23709	30.246532	26.967317	25.374651	22.830179	0.0	0.0	18.323285
bin_29_FMBNMGCE_00076	22.151636	307.726815	309.086398	11.568552	16.3923	32.221977	22.884573	10.780259	38.691084	18.078591	34.961853	74.679915	32.83476	19.7331	0.0	0.0	0.0
